Book Name,Total Tokens,Unique Tokens,Min Colors
AbsalomAbsalom.txt,131,83,3
AbsalomAbsalom.txt,84,59,3
AbsalomAbsalom.txt,94,60,3
AbsalomAbsalom.txt,155,109,4
AbsalomAbsalom.txt,207,127,3
AbsalomAbsalom.txt,14,14,2
AbsalomAbsalom.txt,73,51,3
AbsalomAbsalom.txt,37,30,3
AbsalomAbsalom.txt,11,11,2
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,29,26,3
AbsalomAbsalom.txt,82,57,3
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,93,70,3
AbsalomAbsalom.txt,87,64,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,87,67,3
AbsalomAbsalom.txt,33,30,3
AbsalomAbsalom.txt,32,27,3
AbsalomAbsalom.txt,57,49,3
AbsalomAbsalom.txt,26,25,2
AbsalomAbsalom.txt,37,34,3
AbsalomAbsalom.txt,19,17,3
AbsalomAbsalom.txt,20,20,2
AbsalomAbsalom.txt,79,61,3
AbsalomAbsalom.txt,12,12,2
AbsalomAbsalom.txt,11,11,2
AbsalomAbsalom.txt,9,9,2
AbsalomAbsalom.txt,113,76,3
AbsalomAbsalom.txt,48,39,3
AbsalomAbsalom.txt,63,50,3
AbsalomAbsalom.txt,16,16,2
AbsalomAbsalom.txt,9,9,2
AbsalomAbsalom.txt,33,28,3
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,4,4,2
AbsalomAbsalom.txt,81,65,3
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,108,72,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,144,91,3
AbsalomAbsalom.txt,55,44,3
AbsalomAbsalom.txt,16,14,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,35,23,3
AbsalomAbsalom.txt,14,13,3
AbsalomAbsalom.txt,165,96,4
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,28,26,3
AbsalomAbsalom.txt,23,19,2
AbsalomAbsalom.txt,145,86,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,118,81,3
AbsalomAbsalom.txt,14,13,3
AbsalomAbsalom.txt,32,29,3
AbsalomAbsalom.txt,81,56,3
AbsalomAbsalom.txt,36,27,3
AbsalomAbsalom.txt,17,16,3
AbsalomAbsalom.txt,9,8,3
AbsalomAbsalom.txt,67,51,3
AbsalomAbsalom.txt,84,58,3
AbsalomAbsalom.txt,60,43,3
AbsalomAbsalom.txt,34,29,3
AbsalomAbsalom.txt,25,25,2
AbsalomAbsalom.txt,91,63,3
AbsalomAbsalom.txt,39,35,3
AbsalomAbsalom.txt,14,14,2
AbsalomAbsalom.txt,25,19,3
AbsalomAbsalom.txt,188,100,4
AbsalomAbsalom.txt,42,35,3
AbsalomAbsalom.txt,29,22,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,34,29,3
AbsalomAbsalom.txt,72,54,3
AbsalomAbsalom.txt,56,45,3
AbsalomAbsalom.txt,16,15,2
AbsalomAbsalom.txt,17,16,2
AbsalomAbsalom.txt,24,22,3
AbsalomAbsalom.txt,96,67,4
AbsalomAbsalom.txt,31,27,3
AbsalomAbsalom.txt,69,50,3
AbsalomAbsalom.txt,4,4,2
AbsalomAbsalom.txt,14,13,3
AbsalomAbsalom.txt,105,69,3
AbsalomAbsalom.txt,14,14,2
AbsalomAbsalom.txt,42,35,3
AbsalomAbsalom.txt,88,65,3
AbsalomAbsalom.txt,15,13,3
AbsalomAbsalom.txt,67,49,3
AbsalomAbsalom.txt,56,40,3
AbsalomAbsalom.txt,23,21,2
AbsalomAbsalom.txt,78,61,3
AbsalomAbsalom.txt,154,96,4
AbsalomAbsalom.txt,100,70,3
AbsalomAbsalom.txt,242,145,3
AbsalomAbsalom.txt,19,15,3
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,205,121,4
AbsalomAbsalom.txt,12,12,2
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,37,29,3
AbsalomAbsalom.txt,12,12,2
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,89,62,3
AbsalomAbsalom.txt,57,44,3
AbsalomAbsalom.txt,4,4,2
AbsalomAbsalom.txt,14,11,3
AbsalomAbsalom.txt,9,9,2
AbsalomAbsalom.txt,27,26,3
AbsalomAbsalom.txt,43,37,3
AbsalomAbsalom.txt,127,91,3
AbsalomAbsalom.txt,4,4,2
AbsalomAbsalom.txt,24,22,3
AbsalomAbsalom.txt,80,56,3
AbsalomAbsalom.txt,139,93,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,167,100,3
AbsalomAbsalom.txt,108,61,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,25,24,2
AbsalomAbsalom.txt,76,53,3
AbsalomAbsalom.txt,55,42,3
AbsalomAbsalom.txt,37,29,3
AbsalomAbsalom.txt,36,31,3
AbsalomAbsalom.txt,90,63,3
AbsalomAbsalom.txt,3,3,2
AbsalomAbsalom.txt,55,43,3
AbsalomAbsalom.txt,31,26,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,92,60,3
AbsalomAbsalom.txt,10,9,2
AbsalomAbsalom.txt,35,31,3
AbsalomAbsalom.txt,55,44,3
AbsalomAbsalom.txt,74,52,4
AbsalomAbsalom.txt,109,71,3
AbsalomAbsalom.txt,12,12,2
AbsalomAbsalom.txt,299,152,4
AbsalomAbsalom.txt,82,46,3
AbsalomAbsalom.txt,39,34,3
AbsalomAbsalom.txt,103,75,3
AbsalomAbsalom.txt,34,30,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,116,80,3
AbsalomAbsalom.txt,93,67,3
AbsalomAbsalom.txt,100,69,3
AbsalomAbsalom.txt,132,75,3
AbsalomAbsalom.txt,112,83,3
AbsalomAbsalom.txt,83,59,3
AbsalomAbsalom.txt,148,89,4
AbsalomAbsalom.txt,9,9,2
AbsalomAbsalom.txt,18,16,3
AbsalomAbsalom.txt,173,105,3
AbsalomAbsalom.txt,149,90,4
AbsalomAbsalom.txt,133,86,3
AbsalomAbsalom.txt,35,29,3
AbsalomAbsalom.txt,75,54,3
AbsalomAbsalom.txt,93,54,3
AbsalomAbsalom.txt,18,17,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,187,113,3
AbsalomAbsalom.txt,21,18,3
AbsalomAbsalom.txt,11,11,2
AbsalomAbsalom.txt,336,178,4
AbsalomAbsalom.txt,184,114,3
AbsalomAbsalom.txt,11,11,2
AbsalomAbsalom.txt,61,52,3
AbsalomAbsalom.txt,41,38,3
AbsalomAbsalom.txt,18,16,3
AbsalomAbsalom.txt,469,229,4
AbsalomAbsalom.txt,103,70,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,18,18,2
AbsalomAbsalom.txt,119,83,3
AbsalomAbsalom.txt,154,94,3
AbsalomAbsalom.txt,46,37,3
AbsalomAbsalom.txt,178,115,4
AbsalomAbsalom.txt,3,3,2
AbsalomAbsalom.txt,71,55,3
AbsalomAbsalom.txt,45,37,3
AbsalomAbsalom.txt,102,73,3
AbsalomAbsalom.txt,209,122,4
AbsalomAbsalom.txt,17,16,2
AbsalomAbsalom.txt,59,44,3
AbsalomAbsalom.txt,84,64,3
AbsalomAbsalom.txt,30,26,3
AbsalomAbsalom.txt,46,38,3
AbsalomAbsalom.txt,35,27,3
AbsalomAbsalom.txt,66,49,3
AbsalomAbsalom.txt,61,49,3
AbsalomAbsalom.txt,46,40,3
AbsalomAbsalom.txt,12,11,2
AbsalomAbsalom.txt,185,94,4
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,128,85,3
AbsalomAbsalom.txt,37,31,3
AbsalomAbsalom.txt,74,52,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,87,62,3
AbsalomAbsalom.txt,225,139,3
AbsalomAbsalom.txt,52,40,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,16,16,2
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,16,15,3
AbsalomAbsalom.txt,36,28,3
AbsalomAbsalom.txt,92,61,3
AbsalomAbsalom.txt,12,12,2
AbsalomAbsalom.txt,17,16,2
AbsalomAbsalom.txt,17,14,3
AbsalomAbsalom.txt,18,16,3
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,38,29,3
AbsalomAbsalom.txt,14,12,3
AbsalomAbsalom.txt,151,85,3
AbsalomAbsalom.txt,59,49,3
AbsalomAbsalom.txt,19,18,3
AbsalomAbsalom.txt,4,4,2
AbsalomAbsalom.txt,59,46,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,22,22,2
